Id,Overall Qual,Gr Liv Area,Garage Area,Total Bsmt SF,Year Remod/Add,bath_abv,bath_bsmt,Neighborhood,roomratio,rm_area_intr,Bsmt Qual,SalePrice
2125,5,990,384.0,990.0,1994,1,1.0,CollgCr,0.2,4950,Gd,146000
1489,5,1256,276.0,1256.0,1965,2,1.0,Edwards,0.3333333333333333,7536,TA,147500
2383,10,2076,850.0,2076.0,2006,3,1.0,NridgHt,0.42857142857142855,14532,Ex,465000
983,5,1110,602.0,1097.0,1978,1,1.0,Mitchel,0.25,4440,Gd,165500
1325,5,1795,352.0,1050.0,1954,2,0.0,OldTown,0.2857142857142857,12565,TA,131500
1378,5,1040,384.0,1040.0,1965,1,1.0,Sawyer,0.2,5200,TA,129500
1537,8,1873,786.0,608.0,1950,2,0.0,Crawfor,0.2222222222222222,16857,TA,257076
905,5,1604,660.0,984.0,1960,2,0.0,Edwards,0.3333333333333333,9624,TA,117000
1532,7,1502,270.0,776.0,2000,2,0.0,Crawfor,0.3333333333333333,9012,Gd,149000
132,5,1063,280.0,1056.0,1954,1,1.0,NAmes,0.16666666666666666,6378,TA,128000
1078,7,1626,474.0,764.0,2004,3,0.0,NridgHt,0.5,9756,Gd,155000
2511,6,1524,440.0,756.0,2000,3,0.0,Somerst,0.75,6096,Gd,166000
912,4,1981,576.0,1122.0,1950,2,1.0,SWISU,0.2857142857142857,13867,TA,135000
2351,7,2784,564.0,1392.0,1978,4,1.0,NWAmes,0.3333333333333333,33408,Gd,250000
330,4,1092,0.0,546.0,1970,2,0.0,MeadowV,0.4,5460,TA,76000
2586,6,1575,400.0,216.0,1951,2,0.0,NAmes,0.4,7875,TA,155000
224,6,1352,299.0,663.0,1969,2,0.0,Sawyer,0.2857142857142857,9464,TA,158000
98,7,1200,480.0,600.0,2005,3,1.0,Somerst,0.75,4800,Gd,149500
2565,5,936,240.0,936.0,1975,1,0.0,NAmes,0.2,4680,TA,121000
1934,6,1040,293.0,1040.0,1953,1,1.0,NAmes,0.16666666666666666,6240,TA,136000
997,6,1636,386.0,916.0,1996,3,0.0,Gilbert,0.42857142857142855,11452,Gd,173000
64,8,2270,671.0,1152.0,2007,3,0.0,NoRidge,0.3333333333333333,20430,Gd,290000
1799,8,2610,550.0,1184.0,2007,3,0.0,Somerst,0.2727272727272727,28710,Gd,303477
230,7,1483,690.0,1420.0,2001,2,1.0,ClearCr,0.5,5932,Gd,270000
1295,5,1740,225.0,936.0,1950,1,0.0,OldTown,0.16666666666666666,10440,TA,122250
638,5,1382,350.0,1382.0,1955,1,1.0,NAmes,0.16666666666666666,8292,TA,153000
2278,5,1120,0.0,1120.0,2007,1,0.0,Mitchel,0.16666666666666666,6720,Gd,147000
2202,7,1098,216.0,531.0,1995,1,1.0,Crawfor,0.2,5490,Gd,148500
2833,7,1708,380.0,976.0,2004,2,0.0,Edwards,0.2857142857142857,11956,Gd,130000
1707,9,1802,843.0,1802.0,2006,3,0.0,NridgHt,0.42857142857142855,12614,Ex,372000
2428,7,1506,440.0,1362.0,2005,2,0.0,Blmngtn,0.3333333333333333,9036,Gd,213490
242,7,1508,572.0,1508.0,2010,1,1.0,Edwards,0.2,7540,Gd,308030
1564,7,2032,786.0,1840.0,1997,3,1.0,Mitchel,0.42857142857142855,14224,Ex,300000
2613,6,1194,539.0,655.0,1959,1,1.0,NAmes,0.16666666666666666,7164,TA,159500
2832,7,1709,380.0,970.0,2004,2,0.0,Edwards,0.2857142857142857,11963,Gd,137500
2459,7,1616,834.0,1616.0,2005,2,0.0,Somerst,0.2857142857142857,11312,Gd,232000
1360,6,768,440.0,768.0,1950,1,0.0,IDOTRR,0.25,3072,TA,93850
2723,5,872,322.0,872.0,1950,1,0.0,Sawyer,0.2,4360,TA,105000
1350,4,520,240.0,520.0,1950,1,0.0,BrkSide,0.25,2080,TA,68500
136,5,2274,480.0,1105.0,1960,2,0.0,NAmes,0.16666666666666666,27288,TA,154300
2235,5,1601,0.0,936.0,2003,2,0.0,IDOTRR,0.3333333333333333,9606,TA,129850
1993,5,1232,480.0,616.0,1950,1,0.0,OldTown,0.16666666666666666,7392,TA,114000
367,9,2234,1166.0,2216.0,2009,2,1.0,StoneBr,0.2222222222222222,20106,Ex,501837
1309,5,1416,720.0,876.0,1950,2,0.0,OldTown,0.2857142857142857,9912,TA,153900
402,4,864,576.0,864.0,2006,1,0.0,NAmes,0.2,4320,TA,130000
1592,6,1189,392.0,1189.0,1997,2,1.0,Mitchel,0.5,4756,Ex,160500
2409,9,1666,575.0,1666.0,2006,2,1.0,NridgHt,0.3333333333333333,9996,Ex,310090
539,7,1200,555.0,1176.0,2003,2,1.0,SawyerW,0.4,6000,Gd,184900
1940,5,928,252.0,928.0,2000,1,0.0,NAmes,0.25,3712,Gd,132000
588,5,1336,502.0,1288.0,1969,2,1.0,NWAmes,0.3333333333333333,8016,Gd,163000
96,7,1200,480.0,600.0,2004,3,0.0,Somerst,0.75,4800,Gd,155000
1187,6,1427,516.0,1427.0,1969,2,1.0,NWAmes,0.2857142857142857,9989,TA,183000
2154,7,1992,608.0,860.0,2002,3,1.0,CollgCr,0.42857142857142855,13944,Gd,211000
550,7,1540,495.0,754.0,1994,3,1.0,SawyerW,0.5,9240,Gd,184000
811,5,1535,400.0,0.0,1979,2,0.0,SawyerW,0.25,12280,NA,118858
124,5,1152,484.0,1152.0,1964,1,1.0,NAmes,0.16666666666666666,6912,TA,180500
1836,8,1151,484.0,1141.0,2007,2,1.0,Somerst,0.4,5755,Gd,166000
779,6,1138,480.0,1138.0,1960,1,1.0,Sawyer,0.16666666666666666,6828,TA,148000
1886,5,1074,396.0,894.0,1956,1,0.0,NAmes,0.16666666666666666,6444,TA,124000
1724,9,1561,556.0,1561.0,2005,2,1.0,NridgHt,0.3333333333333333,9366,Ex,277500
2450,8,2726,725.0,1342.0,1995,3,0.0,NoRidge,0.3333333333333333,24534,Gd,350000
1013,9,1884,670.0,1884.0,2004,2,1.0,StoneBr,0.2857142857142857,13188,Ex,387000
2084,4,605,0.0,528.0,2002,1,1.0,Edwards,0.2,3025,TA,86000
1184,8,1671,550.0,1426.0,2007,3,1.0,Veenker,0.5,10026,Gd,290000
728,3,797,0.0,245.0,1950,1,0.0,IDOTRR,0.2,3985,Fa,44000
950,6,1961,560.0,804.0,2002,3,1.0,Mitchel,0.42857142857142855,13727,Ex,215000
2524,5,1193,501.0,1153.0,1972,2,1.0,NWAmes,0.3333333333333333,7158,Gd,146500
2513,7,1382,490.0,673.0,2000,3,1.0,Somerst,0.5,8292,Gd,165000
2028,6,2526,216.0,714.0,1950,2,0.0,OldTown,0.2,25260,TA,136000
2309,6,1390,550.0,1705.0,1957,2,1.0,NAmes,0.5,5560,Gd,252000
51,7,1626,474.0,764.0,2003,3,0.0,NridgHt,0.5,9756,Gd,175500
699,5,1558,400.0,690.0,1950,2,0.0,OldTown,0.2857142857142857,10906,TA,150000
1881,5,1422,286.0,978.0,1978,1,0.0,NAmes,0.16666666666666666,8532,TA,139900
1345,5,1573,360.0,1078.0,1992,2,0.0,BrkSide,0.25,12584,TA,162900
166,6,1116,440.0,1116.0,1962,2,0.0,NAmes,0.4,5580,TA,160000
781,2,660,0.0,0.0,1950,1,0.0,Sawyer,0.2,3300,NA,63900
379,6,1707,479.0,1140.0,1998,2,0.0,NWAmes,0.2857142857142857,11949,TA,184000
2818,5,1466,528.0,1466.0,1959,2,0.0,Edwards,0.3333333333333333,8796,TA,149900
1168,9,1638,495.0,1614.0,2000,2,1.0,Somerst,0.4,8190,Gd,300000
1396,5,1721,626.0,988.0,1960,2,1.0,ClearCr,0.2857142857142857,12047,TA,145000
838,6,1764,470.0,928.0,1997,3,1.0,CollgCr,0.42857142857142855,12348,Gd,231500
1492,5,996,0.0,996.0,1969,1,1.0,Edwards,0.16666666666666666,5976,TA,108000
637,5,1202,304.0,1202.0,1956,1,1.0,NAmes,0.16666666666666666,7212,TA,120000
1826,5,988,572.0,988.0,1961,1,1.0,Sawyer,0.2,4940,TA,128500
173,5,1028,360.0,1008.0,1950,1,0.0,OldTown,0.2,5140,TA,115000
715,5,1284,240.0,720.0,1950,2,0.0,OldTown,0.4,6420,TA,110000
1183,9,2944,864.0,994.0,1977,4,0.0,Veenker,0.4444444444444444,26496,Gd,150000
2433,8,1414,403.0,707.0,2004,3,0.0,Gilbert,0.5,8484,Ex,178000
2866,7,1609,579.0,637.0,1990,2,0.0,Crawfor,0.25,12872,TA,199500
2311,6,1525,400.0,813.0,1998,3,1.0,Gilbert,0.5,9150,TA,183500
1551,5,1656,288.0,624.0,1967,2,0.0,IDOTRR,0.2857142857142857,11592,Gd,126000
1049,7,1055,440.0,1055.0,1977,2,0.0,NPkVill,0.5,4220,Gd,148500
657,5,1352,720.0,676.0,2006,2,1.0,OldTown,0.2857142857142857,9464,TA,149000
414,6,1456,440.0,855.0,1977,3,0.0,NPkVill,0.5,8736,Gd,137900
1181,8,1719,473.0,1719.0,1993,2,2.0,Veenker,0.3333333333333333,10314,Gd,324000
1514,5,864,0.0,864.0,1950,1,1.0,Edwards,0.2,4320,TA,98000
1040,6,987,264.0,483.0,1973,2,1.0,BrDale,0.4,4935,TA,103400
216,5,1020,0.0,780.0,1996,1,0.0,Sawyer,0.16666666666666666,6120,TA,94000
1720,8,1554,627.0,1554.0,2006,2,0.0,NridgHt,0.3333333333333333,9324,Gd,209500
2331,10,3390,758.0,1528.0,2006,4,0.0,StoneBr,0.4,33900,Ex,545224
204,6,1560,0.0,780.0,2009,2,0.0,OldTown,0.2857142857142857,10920,TA,159900
19,4,864,400.0,864.0,1951,1,0.0,Gilbert,0.25,3456,TA,141000
2438,6,1889,431.0,982.0,2000,3,0.0,Gilbert,0.3333333333333333,17001,Gd,215000
89,5,1040,260.0,1040.0,2010,2,1.0,Sawyer,0.3333333333333333,6240,TA,127000
240,5,1172,366.0,1172.0,1998,1,1.0,Edwards,0.2,5860,TA,128000
105,8,1418,852.0,1642.0,2010,2,1.0,Somerst,0.3333333333333333,8508,Ex,267916
2020,6,1367,560.0,884.0,1950,1,0.0,BrkSide,0.16666666666666666,8202,TA,127500
888,7,1922,672.0,0.0,2003,3,0.0,Edwards,0.42857142857142855,13454,NA,198500
1019,6,1422,576.0,1422.0,1981,2,0.0,NWAmes,0.2857142857142857,9954,Gd,175500
2132,7,1842,486.0,985.0,2000,3,1.0,CollgCr,0.42857142857142855,12894,Gd,217500
203,4,1962,572.0,888.0,1950,2,0.0,OldTown,0.2222222222222222,17658,TA,149500
420,5,1120,656.0,864.0,2004,1,1.0,NAmes,0.2,5600,TA,148800
2333,9,2868,716.0,1992.0,2006,4,0.0,StoneBr,0.36363636363636365,31548,Ex,556581
632,6,1478,442.0,1478.0,1957,2,1.0,NAmes,0.3333333333333333,8868,TA,156500
2800,7,1995,610.0,930.0,1996,3,1.0,CollgCr,0.375,15960,Gd,237000
1885,5,912,297.0,912.0,1985,1,1.0,NAmes,0.2,4560,TA,120000
1734,6,1326,388.0,1326.0,2005,2,1.0,Gilbert,0.3333333333333333,7956,Gd,203000
2327,8,1204,461.0,1191.0,1987,2,0.0,StoneBr,0.4,6020,Gd,130000
1282,6,1611,442.0,780.0,1964,2,1.0,NAmes,0.2857142857142857,11277,TA,167900
2688,4,960,576.0,960.0,1970,1,1.0,BrkSide,0.16666666666666666,5760,TA,129000
2581,5,1236,447.0,1070.0,1996,1,1.0,NAmes,0.16666666666666666,7416,TA,134450
2067,5,1416,576.0,816.0,2007,2,0.0,Sawyer,0.2857142857142857,9912,TA,112000
2115,7,1873,619.0,929.0,1988,3,1.0,SawyerW,0.42857142857142855,13111,Gd,207000
754,5,2128,0.0,1040.0,1950,2,0.0,OldTown,0.18181818181818182,23408,TA,62500
1079,7,1626,474.0,764.0,2004,3,1.0,NridgHt,0.5,9756,Gd,154000
2615,5,816,308.0,816.0,1957,1,1.0,NAmes,0.2,4080,TA,129900
329,5,1112,336.0,536.0,1976,2,0.0,MeadowV,0.5,4448,Gd,85000
1320,7,1111,288.0,572.0,1950,1,0.0,OldTown,0.2,5555,TA,116900
416,6,1441,440.0,855.0,1978,3,0.0,NPkVill,0.42857142857142855,10087,TA,148500
284,4,924,280.0,672.0,1950,1,1.0,Edwards,0.2,4620,Gd,80000
1385,5,1126,506.0,1060.0,1984,1,1.0,Sawyer,0.2,5630,Gd,152000
275,5,992,319.0,381.0,1954,1,0.0,Edwards,0.16666666666666666,5952,Fa,155891
2024,6,1376,576.0,768.0,1950,1,0.0,BrkSide,0.14285714285714285,9632,TA,165000
68,7,1218,676.0,1218.0,2010,2,0.0,Somerst,0.5,4872,Gd,204500
1910,5,1644,312.0,728.0,1995,2,0.0,NAmes,0.2857142857142857,11508,TA,146500
381,7,1601,478.0,1271.0,1978,2,0.0,NWAmes,0.2857142857142857,11207,Gd,157000
1323,7,2495,342.0,1313.0,1999,2,0.0,OldTown,0.2,24950,TA,184000
2432,6,1509,393.0,783.0,2003,3,1.0,Gilbert,0.42857142857142855,10563,Gd,183200
777,5,1092,288.0,1092.0,1962,1,1.0,Sawyer,0.16666666666666666,6552,TA,139000
1107,7,2418,983.0,1311.0,1994,3,1.0,NoRidge,0.3333333333333333,21762,Gd,341000
30,6,987,264.0,483.0,1971,2,0.0,BrDale,0.4,4935,TA,96000
282,4,1121,440.0,1121.0,2004,2,0.0,Edwards,0.4,5605,Gd,140000
188,6,1236,923.0,912.0,1996,1,1.0,OldTown,0.16666666666666666,7416,TA,149700
2356,5,1074,495.0,1056.0,1975,2,1.0,NWAmes,0.3333333333333333,6444,Gd,153500
1554,1,733,487.0,0.0,1952,1,0.0,IDOTRR,0.25,2932,NA,13100
1464,7,1768,543.0,884.0,2003,3,1.0,CollgCr,0.375,14144,Gd,224900
2469,7,1266,453.0,1257.0,2005,2,0.0,Somerst,0.3333333333333333,7596,Gd,176000
1834,8,2872,541.0,1683.0,2000,3,0.0,NoRidge,0.3333333333333333,25848,Gd,285000
1779,8,1464,754.0,1485.0,2007,2,1.0,Somerst,0.3333333333333333,8784,Gd,282922
2569,7,2157,487.0,924.0,1966,3,0.0,NAmes,0.375,17256,TA,226000
2334,8,2576,666.0,1234.0,2006,3,0.0,StoneBr,0.3,25760,Ex,361919
2330,9,2798,670.0,1398.0,2006,4,1.0,StoneBr,0.36363636363636365,30778,Ex,457347
2119,8,1743,529.0,966.0,1976,1,2.0,ClearCr,0.2,8715,Gd,279000
988,6,1567,714.0,1567.0,1977,2,1.0,Mitchel,0.4,7835,TA,196000
382,7,1370,479.0,1090.0,1976,2,0.0,NWAmes,0.3333333333333333,8220,Gd,152000
670,5,2634,968.0,1248.0,1969,4,2.0,NAmes,0.3333333333333333,31608,TA,200000
2760,8,1590,754.0,1570.0,2006,3,1.0,CollgCr,0.5,9540,Ex,294900
543,7,1450,788.0,1450.0,2009,2,0.0,SawyerW,0.3333333333333333,8700,Gd,224243
2835,6,1338,528.0,832.0,1950,2,0.0,Edwards,0.2857142857142857,9366,Fa,92000
1735,7,1456,400.0,728.0,2007,3,0.0,Gilbert,0.375,11648,Gd,179540
448,10,2392,968.0,2392.0,2003,2,0.0,NridgHt,0.25,19136,Ex,386250
2287,4,992,297.0,530.0,1970,1,1.0,MeadowV,0.25,3968,Gd,106500
524,10,2007,812.0,1017.0,2008,3,1.0,Somerst,0.3,20070,Ex,310000
1767,7,2385,600.0,1066.0,1998,3,0.0,NoRidge,0.375,19080,Gd,252000
2206,7,1646,240.0,918.0,1950,2,0.0,Crawfor,0.2857142857142857,11522,TA,164000
1740,7,1456,400.0,728.0,2007,3,0.0,Gilbert,0.42857142857142855,10192,Gd,177594
199,5,1040,624.0,528.0,1980,1,0.0,BrkSide,0.2,5200,TA,123900
2214,6,2624,864.0,1370.0,1950,3,1.0,Crawfor,0.3,26240,Gd,239000
323,5,1264,528.0,1068.0,1977,1,1.0,Mitchel,0.14285714285714285,8848,TA,169000
2421,7,1557,420.0,1374.0,2004,2,0.0,Blmngtn,0.2857142857142857,10899,Gd,234000
952,6,1287,541.0,957.0,1977,2,1.0,Mitchel,0.4,6435,Gd,173000
24,6,1004,480.0,1004.0,1970,1,1.0,NAmes,0.2,5020,TA,149000
1139,7,1162,483.0,1162.0,2007,2,0.0,SawyerW,0.3333333333333333,6972,Gd,170000
518,7,1436,529.0,1436.0,2009,2,0.0,Somerst,0.3333333333333333,8616,Ex,225000
1390,5,960,300.0,960.0,2003,1,1.0,Sawyer,0.16666666666666666,5760,TA,144900
277,5,1196,336.0,1196.0,1968,1,1.0,Edwards,0.16666666666666666,7176,Gd,144000
54,8,1269,430.0,1256.0,2005,2,0.0,Blmngtn,0.3333333333333333,7614,Gd,192000
649,5,1031,230.0,1031.0,2005,1,1.0,NAmes,0.2,5155,TA,145500
2600,4,720,280.0,448.0,1998,1,0.0,OldTown,0.2,3600,Fa,86900
617,6,1505,505.0,1505.0,1953,1,1.0,NAmes,0.16666666666666666,9030,TA,149500
2209,5,954,240.0,920.0,1950,1,0.0,Crawfor,0.2,4770,Fa,119750
2814,6,1500,564.0,750.0,2006,3,0.0,CollgCr,0.5,9000,Gd,173900
2542,5,1050,368.0,1050.0,1961,1,1.0,NAmes,0.16666666666666666,6300,TA,136500
2323,8,2687,618.0,2062.0,1994,3,0.0,StoneBr,0.3333333333333333,24183,Gd,270000
1393,6,1252,564.0,1602.0,1975,1,1.0,ClearCr,0.25,5008,Gd,235000
490,7,1430,400.0,384.0,2000,3,0.0,Gilbert,0.42857142857142855,10010,Gd,156000
542,5,1114,576.0,1114.0,2004,2,1.0,SawyerW,0.3333333333333333,6684,Gd,153000
973,6,1224,402.0,1224.0,1999,2,1.0,Mitchel,0.4,6120,Ex,165000
1012,9,2504,656.0,1122.0,2007,3,0.0,StoneBr,0.2727272727272727,27544,Gd,325000
2218,5,1355,528.0,728.0,1950,2,0.0,Crawfor,0.4,6775,TA,140000
2033,6,2294,658.0,741.0,1963,3,0.0,IDOTRR,0.3333333333333333,20646,TA,202500
1071,9,1702,1052.0,1702.0,2008,2,1.0,NridgHt,0.2857142857142857,11914,Ex,367294
1583,6,1509,600.0,1461.0,1989,2,1.0,Timber,0.4,7545,Gd,175000
2858,7,1717,642.0,756.0,1970,1,1.0,Crawfor,0.14285714285714285,12019,TA,140000
2265,7,1240,528.0,1265.0,1985,2,1.0,Timber,0.3333333333333333,7440,Gd,174000
1088,7,1166,400.0,856.0,2005,2,1.0,Gilbert,0.4,5830,Gd,190000
698,5,1464,0.0,504.0,2002,2,0.0,OldTown,0.2857142857142857,10248,TA,129000
1896,6,1652,510.0,1592.0,1991,2,1.0,NAmes,0.3333333333333333,9912,TA,200000
628,6,2142,509.0,896.0,1968,3,0.0,NAmes,0.375,17136,Gd,193500
1212,6,1092,504.0,1092.0,1964,1,1.0,NAmes,0.16666666666666666,6552,Gd,145000
2864,7,1671,451.0,1022.0,1950,2,0.0,Crawfor,0.2857142857142857,11697,TA,218000
2740,5,1488,569.0,0.0,2002,1,0.0,Edwards,0.14285714285714285,10416,NA,135000
2560,5,1624,240.0,1444.0,1952,1,1.0,NAmes,0.16666666666666666,9744,TA,146500
1716,6,1362,460.0,1362.0,2006,2,0.0,NridgHt,0.3333333333333333,8172,Gd,194700
1130,7,1218,462.0,1218.0,2008,2,1.0,Somerst,0.3333333333333333,7308,Gd,230348
201,6,1068,288.0,1124.0,1950,1,1.0,OldTown,0.2,5340,Fa,109500
2886,6,1625,576.0,1625.0,1979,2,1.0,Mitchel,0.3333333333333333,9750,Gd,242500
2328,7,1767,504.0,1064.0,1987,2,1.0,StoneBr,0.4,8835,Gd,239000
2583,6,1050,286.0,1050.0,2000,1,1.0,NAmes,0.16666666666666666,6300,TA,156000
1206,4,907,352.0,907.0,1957,1,0.0,NAmes,0.2,4535,TA,109008
2242,2,845,256.0,0.0,1950,1,0.0,IDOTRR,0.25,3380,NA,68104
1105,8,2501,751.0,1242.0,1995,3,0.0,NoRidge,0.3333333333333333,22509,Gd,290000
121,5,1209,504.0,1209.0,1966,1,1.0,NAmes,0.16666666666666666,7254,Gd,159000
1223,4,906,231.0,348.0,1950,1,0.0,BrkSide,0.2,4530,TA,87000
265,8,1601,670.0,1581.0,2002,2,1.0,CollgCr,0.3333333333333333,9606,Gd,272000
2813,7,1336,502.0,1336.0,2006,2,1.0,CollgCr,0.3333333333333333,8016,Gd,198000
1294,4,1656,440.0,801.0,1985,2,0.0,OldTown,0.25,13248,TA,119164
2745,5,1124,0.0,0.0,1954,1,0.0,Edwards,0.2,5620,NA,93000
1094,7,1892,431.0,982.0,2001,3,0.0,Gilbert,0.375,15136,Gd,226750
651,3,1699,420.0,978.0,1970,2,1.0,OldTown,0.2857142857142857,11893,Fa,95000
198,6,1416,312.0,780.0,1950,2,0.0,BrkSide,0.3333333333333333,8496,TA,139900
131,3,1306,0.0,728.0,1966,1,0.0,BrkSide,0.16666666666666666,7836,TA,76500
1258,4,672,308.0,672.0,2005,1,0.0,OldTown,0.25,2688,TA,86900
1599,5,1160,257.0,1113.0,1968,1,1.0,Mitchel,0.16666666666666666,6960,TA,152500
1508,4,930,286.0,911.0,1953,1,0.0,Edwards,0.2,4650,Gd,99000
615,4,708,0.0,420.0,1950,1,0.0,BrkSide,0.2,3540,TA,82500
1815,6,1575,529.0,1575.0,1992,2,1.0,SawyerW,0.4,7875,Gd,179200
2712,5,1059,286.0,1059.0,1966,1,1.0,Sawyer,0.16666666666666666,6354,TA,142500
2051,4,1005,440.0,1005.0,1964,1,1.0,Sawyer,0.2,5025,TA,115400
1863,7,1929,650.0,1057.0,2001,3,1.0,Somerst,0.42857142857142855,13503,Gd,226000
2510,7,1200,480.0,600.0,2005,3,0.0,Somerst,0.75,4800,Gd,144152
1069,8,2690,795.0,1765.0,2003,3,0.0,NridgHt,0.3333333333333333,24210,Ex,370000
336,5,833,495.0,833.0,1984,1,1.0,Mitchel,0.2,4165,Gd,149900
2417,6,1456,429.0,728.0,2006,3,0.0,Gilbert,0.375,11648,Gd,172785
1962,5,864,720.0,864.0,2002,1,1.0,NAmes,0.2,4320,TA,129000
372,6,1586,435.0,1362.0,1998,2,0.0,NWAmes,0.2857142857142857,11102,Gd,181000
2578,5,1370,300.0,1058.0,1956,1,1.0,NAmes,0.16666666666666666,8220,TA,148000
2824,6,914,0.0,914.0,2002,1,1.0,Edwards,0.25,3656,Gd,117250
471,7,1555,430.0,1373.0,2006,2,0.0,Blmngtn,0.2857142857142857,10885,Gd,192500
1544,6,1556,452.0,716.0,1980,3,1.0,Blueste,0.5,9336,Gd,151000
2141,5,882,461.0,882.0,1972,1,1.0,CollgCr,0.2,4410,TA,112500
2008,5,1167,495.0,915.0,1950,1,0.0,BrkSide,0.16666666666666666,7002,TA,144000
1075,9,1800,944.0,1800.0,2008,2,1.0,NridgHt,0.3333333333333333,10800,Ex,370967
34,6,1456,440.0,855.0,1975,3,0.0,NPkVill,0.5,8736,TA,149900
847,7,1660,493.0,831.0,2002,3,0.0,CollgCr,0.42857142857142855,11620,Gd,195000
1629,7,1482,392.0,384.0,1992,3,0.0,Gilbert,0.42857142857142855,10374,Gd,163900
2073,6,1522,552.0,1190.0,1984,2,0.0,ClearCr,0.2857142857142857,10654,Gd,182000
960,9,2036,780.0,2190.0,2008,2,1.0,Timber,0.2222222222222222,18324,Ex,410000
955,5,1595,672.0,1582.0,1991,2,1.0,Mitchel,0.4,7975,Gd,152000
2476,7,1686,462.0,891.0,2005,3,0.0,SawyerW,0.375,13488,Gd,184000
1590,7,1344,784.0,1344.0,1998,2,2.0,Mitchel,0.25,10752,Gd,206300
2913,5,1652,928.0,1652.0,1970,2,0.0,Mitchel,0.25,13216,TA,146500
149,4,1337,263.0,832.0,1956,1,0.0,NAmes,0.2,6685,TA,108000
2525,7,1920,487.0,570.0,1992,3,0.0,NWAmes,0.375,15360,TA,170000
1470,6,848,420.0,848.0,2004,1,1.0,CollgCr,0.3333333333333333,2544,Gd,145000
